time_ms,nose_x,nose_y,nose_z,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_elbow_x,left_elbow_y,left_elbow_z,left_wrist_x,left_wrist_y,left_wrist_z,left_hip_x,left_hip_y,left_hip_z,left_knee_x,left_knee_y,left_knee_z,left_ankle_x,left_ankle_y,left_ankle_z,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_elbow_x,right_elbow_y,right_elbow_z,right_wrist_x,right_wrist_y,right_wrist_z,right_hip_x,right_hip_y,right_hip_z,right_knee_x,right_knee_y,right_knee_z,right_ankle_x,right_ankle_y,right_ankle_z
0,0.008923872,0.565707922,-0.463887751,0.182960197,0.432738692,-0.237338781,0.227911964,0.201860145,-0.200506181,0.268220127,-0.040993918,-0.294917196,0.118902162,-0.0005607,-0.000206412,0.126019672,-0.395607948,0.09685421,0.190797061,-0.666870117,0.332392246,-0.172176287,0.442908019,-0.250888765,-0.23267585,0.205249771,-0.172367379,-0.290063381,-0.031748038,-0.250422359,-0.119215183,0.001247758,0.001413607,-0.125849515,-0.381274462,0.15466696,-0.132355899,-0.687697351,0.40714407
0.016666667,0.008319174,0.561411619,-0.471211076,0.182541311,0.430348605,-0.244440138,0.232883543,0.201964185,-0.20380716,0.290882438,-0.041414741,-0.293240577,0.11892841,-0.000593798,-2.16E-05,0.125988916,-0.398443103,0.097033344,0.188568443,-0.667885005,0.341580629,-0.17223306,0.43853873,-0.263423949,-0.241090566,0.205272257,-0.192174256,-0.307023466,-0.031931333,-0.256362289,-0.119236551,0.001276788,0.001234787,-0.129188001,-0.384059966,0.146137387,-0.134356976,-0.688251197,0.39776659
0.033333333,0.006819773,0.561599553,-0.469541728,0.181242481,0.431049377,-0.243891716,0.237268418,0.208459243,-0.204145178,0.307122737,-0.035818916,-0.293034703,0.118949942,-0.000601941,8.51E-05,0.124450192,-0.398046732,0.107008711,0.183461517,-0.667229295,0.366023988,-0.173143014,0.438948035,-0.26278457,-0.247772262,0.208709046,-0.195834845,-0.320514679,-0.029305184,-0.260540366,-0.11925263,0.001284302,0.001128927,-0.133365706,-0.383904576,0.147142306,-0.137021914,-0.686591208,0.401018649
0.05,0.007278793,0.561179817,-0.471940666,0.181207046,0.431098163,-0.247262701,0.244989082,0.209567368,-0.212338135,0.325013965,-0.033401258,-0.304123402,0.119002752,-0.000561929,0.000251401,0.124521904,-0.397657722,0.103439845,0.183349133,-0.666260004,0.363877237,-0.173347548,0.436904639,-0.266496748,-0.255877346,0.208638147,-0.204847381,-0.331496149,-0.02934196,-0.27190432,-0.119292803,0.001241535,0.000972177,-0.133979037,-0.383906245,0.144907624,-0.136869654,-0.685710192,0.402463019
0.066666667,0.007721211,0.560640156,-0.475036621,0.181205884,0.430183053,-0.256861895,0.252383947,0.209519506,-0.233529121,0.336805224,-0.030514412,-0.32898891,0.119013399,-0.00047205,0.000263244,0.124500632,-0.397355676,0.099475905,0.18284364,-0.665758312,0.361132711,-0.173504695,0.433135033,-0.272506773,-0.270586282,0.208784685,-0.221195057,-0.352072895,-0.026101068,-0.290853173,-0.119298823,0.001141374,0.000961452,-0.134806931,-0.383868694,0.14280206,-0.136728555,-0.685090423,0.399004489
0.083333333,0.008213442,0.557367504,-0.478534013,0.181801483,0.42903617,-0.263062984,0.2602956,0.209457472,-0.246439993,0.34554705,-0.030499559,-0.344419152,0.119024843,-0.000449515,0.000294842,0.124515064,-0.397155166,0.093640372,0.183084548,-0.663661599,0.359425128,-0.173353001,0.432958364,-0.273845255,-0.280023158,0.214032218,-0.222162172,-0.370182127,-0.018973334,-0.295348018,-0.119307213,0.001115182,0.000935081,-0.134972036,-0.383348614,0.13992393,-0.135442585,-0.684058964,0.397255987
0.1,0.008037453,0.557563901,-0.477653146,0.181762815,0.429155171,-0.263609976,0.267599165,0.211651251,-0.249662116,0.354952991,-0.023894379,-0.34856537,0.119023725,-0.000341074,0.000406256,0.12429174,-0.396146953,0.098083623,0.182124689,-0.660639226,0.370349616,-0.173838109,0.43315801,-0.273093224,-0.291947097,0.221655726,-0.22307612,-0.388904512,-0.009460533,-0.299088657,-0.119296774,0.000999971,0.000831365,-0.13643682,-0.380527586,0.140569359,-0.135564446,-0.680587351,0.397225201
0.116666667,0.008100756,0.555787683,-0.482090652,0.18147184,0.429158717,-0.269593656,0.274046659,0.215649322,-0.260755837,0.361784846,-0.011850476,-0.364699215,0.119031467,-0.000123208,0.000438518,0.12348444,-0.395975381,0.108798593,0.180936277,-0.660528123,0.383925736,-0.175354868,0.43201834,-0.275742531,-0.298201144,0.224232107,-0.229960173,-0.397344708,-0.006905313,-0.314710259,-0.119300626,0.00078111,0.000804271,-0.137734547,-0.378814191,0.145513818,-0.135590196,-0.678239524,0.401559681
0.133333333,0.007286557,0.550067902,-0.487763911,0.179540634,0.427062958,-0.276315659,0.27707237,0.215704396,-0.268835634,0.380870432,-0.008278155,-0.367326438,0.119019255,6.30E-06,0.000450691,0.121456474,-0.395701647,0.11878565,0.176782638,-0.659976542,0.392884701,-0.178114697,0.430037916,-0.281383991,-0.305951893,0.227138966,-0.241379023,-0.405507326,-0.001434388,-0.328674138,-0.119281411,0.000649576,0.000794596,-0.139916748,-0.375873208,0.151273042,-0.137632281,-0.673913836,0.40577063
0.15,0.005660099,0.545496583,-0.49719727,0.177137911,0.424255729,-0.28596887,0.28312996,0.216164842,-0.284991622,0.393871278,-0.002451195,-0.381586522,0.118975073,0.000217202,0.000683396,0.11978706,-0.395571768,0.123796031,0.16914092,-0.659224629,0.401148349,-0.1815698,0.426015943,-0.29143247,-0.312495381,0.228665754,-0.258743286,-0.417723626,0.006413311,-0.350926965,-0.119229801,0.000435506,0.000576233,-0.141517386,-0.370367199,0.15389201,-0.142708853,-0.665802181,0.40988788
